"","lon","lat","cor_ano_prec","p_value_ano_prec"
"1",-73,-7.5,0.799944630881129,0.0171334580070792
"2",-70,-7.5,-0.727256257812983,0.0640096780549543
"3",-67,-4.5,0.80855334412483,0.0514692986874798
"4",-67,0,0.73596462611385,0.0593257447284667
"5",-65,-7,-0.744988547242066,0.0892544569330193
"6",-65,-3,0.813850650104427,0.0139583686951604
"7",-64.5,-11,0.637554246520914,0.0890216395345667
"8",-63.5,-11.5,0.999870819589575,0.0102328857702054
"9",-63,-4,0.753913656034237,0.0502780967225953
"10",-62,-4,0.907835333041662,0.0921646669583382
"11",-61.5,-3.5,0.885327680776428,0.0458043691514992
"12",-61,3,0.900377922363852,0.00229076087021069
"13",-60.5,-9,0.627728872173003,0.0956486249929341
"14",-60,-3,0.757766209420299,0.029391109607373
"15",-60,-2,0.813620955158816,0.0140075227745238
"16",-59.5,-15,0.678484339078754,0.064341979968186
"17",-58,-12.5,0.65638715479721,0.0770836462062792
"18",-57.5,-16,0.718289032044586,0.0447484727930949
"19",-57.5,-12.5,0.660932737975418,0.0743516410955151
"20",-56.5,-30,-0.666161693695064,0.0712802382669708
"21",-56.5,-10,-0.696891054816297,0.0547529009778119
"22",-56.5,-1.5,0.861392320252975,0.00598447224689506
"23",-56,-1.5,0.760262525819361,0.0285500557542092
"24",-55.5,-22.5,-0.66368639216435,0.0727246973058135
"25",-55.5,-10.5,-0.721521662325169,0.0433418493656582
"26",-55.5,-2,0.682087774860133,0.0623920953013826
"27",-55.5,-1.5,0.997867285665344,0.0415851890819749
"28",-55,-31,-0.682916771656947,0.061948541042656
"29",-54.5,-28.5,-0.642384679165166,0.0858641740626079
"30",-54.5,-15,0.73682238754356,0.0370493567693391
"31",-54.5,-11.5,0.766093610908912,0.0266437288016698
"32",-54.5,-10,-0.76212540188034,0.0781464999289852
"33",-54.5,-3.5,0.71712941463885,0.0696990171267246
"34",-54,-29.5,-0.696959371949188,0.0547190200007784
"35",-54,-28.5,-0.638419849123574,0.0884509643281868
"36",-54,-15.5,0.691410875509879,0.0575116874745063
"37",-54,-12,0.80855268564794,0.0151199701928117
"38",-54,-10.5,0.924915862551571,0.000999543091106467
"39",-53.5,-29,-0.627306235002947,0.0959398522051175
"40",-53.5,-27.5,-0.637107021150774,0.0893173197286145
"41",-53.5,-15,0.85512505265959,0.0647371410371049
"42",-53.5,-2,0.626110323114356,0.0967666828706731
"43",-53,-16.5,0.707131636788335,0.075571900605663
"44",-53,-16,0.749898124176045,0.0522314616082938
"45",-52.5,-32,-0.630813510695209,0.0935385138416957
"46",-52.5,-28.5,-0.684949767503144,0.0608687356008627
"47",-52.5,-25.5,-0.754521634854934,0.0305068146142662
"48",-52.5,-25,-0.726813938613872,0.0410974615372927
"49",-52.5,-16.5,0.709699872949061,0.048618655073563
"50",-52.5,-16,0.724987685196889,0.0418637814388219
"51",-52.5,-13.5,-0.99523744132656,0.0621566792172427
"52",-52.5,-1.5,0.906622950170328,0.093377049829672
"53",-52.5,-0.5,0.967895590151701,0.0321044098482988
"54",-52,-28.5,-0.647013739497324,0.0829002945151797
"55",-52,-26.5,-0.780522208119868,0.0222711217114878
"56",-52,-25.5,-0.837361080975823,0.00948585277847045
"57",-52,-25,-0.869101556936457,0.00507110078556472
"58",-52,-14,0.834693307074951,0.0387308437219877
"59",-51.5,-28.5,-0.629714125075588,0.0942874607887153
"60",-51.5,-26.5,-0.769282121777145,0.0256355269886682
"61",-51.5,-25.5,-0.873482556113217,0.00459456130574269
"62",-51.5,-25,-0.631026719793953,0.0933936656294938
"63",-51.5,-12.5,0.631684737050364,0.0929474437140426
"64",-51.5,1,-0.737304296056569,0.0368608619104802
"65",-51.5,2,-0.707966653938126,0.0494231773203613
"66",-51,-28.5,-0.731550604133079,0.0391497971283075
"67",-51,-26.5,-0.817399572973573,0.0469701585799407
"68",-51,-25.5,-0.680708768303383,0.0923180531083465
"69",-51,-20.5,-0.626278718773405,0.0966500103777476
"70",-51,-18,-0.798457625880253,0.0313179278819068
"71",-51,-16.5,0.623990548641992,0.0982422890857627
"72",-51,1.5,-0.759310371917129,0.0288690799611766
"73",-50.5,-23,0.861885540531701,0.00592311565221918
"74",-50.5,-20,-0.637989243842429,0.088734588405646
"75",-50.5,1,-0.63971254252823,0.0876026730774432
"76",-50,-28,-0.698931879243,0.0537461872116113
"77",-50,-27,0.8078322364889,0.0152824597910423
"78",-50,-25.5,-0.685694342326462,0.060476083345021
"79",-50,-15,0.706690079853386,0.0500208217919707
"80",-49.5,-19,0.994234624156986,0.00576537584301361
"81",-49.5,-14,0.866651569607952,0.00535088948224964
"82",-49.5,-7,-0.687982571986225,0.0592788321423735
"83",-49.5,-5,-0.670012247818127,0.069067084070839
"84",-49,-7.5,-0.863498636568539,0.0122680612412089
"85",-49,-7,-0.694504182914215,0.0833532366881305
"86",-49,-4.5,-0.68806080472799,0.0874801773855283
"87",-49,-1.5,0.695644521488168,0.055373306842726
"88",-48.5,-11,-0.632480038163075,0.0924097707489251
"89",-48,-20,0.804561459613677,0.0160339269842746
"90",-47.5,-12,-0.790426855655934,0.0195462471390228
"91",-47.5,-11.5,-0.687354328093516,0.0596061242754257
"92",-47.5,-11,-0.677179698498116,0.0650567297344439
"93",-47,-24,-0.970934038660453,0.00592254424006495
"94",-47,-12,-0.706847121297672,0.0499470677558784
