"","lon","lat","year","sif_mean","prec_tot"
"1",-73.5,-8,2015,0.344700024451739,1082.47
"2",-73.5,-7.5,2015,0.349088656674525,1229.76
"3",-73.5,-7,2015,0.327087415231241,1418.05
"4",-73,-8.5,2015,0.3973599090952,1366.21
"5",-73,-8,2015,0.322155592176649,1527
"6",-73,-7.5,2015,0.328622552160602,1738.24
"7",-73,-7,2015,0.333093033939074,1882.08
"8",-73,-6.5,2015,0.333276472593609,2070.94
"9",-73,-6,2015,0.303440491358439,2371.93
"10",-72.5,-9,2015,0.345114129242703,1292.5
"11",-72.5,-8.5,2015,0.326909661526316,1296.93
"12",-72.5,-8,2015,0.315515233039856,1465.79
"13",-72.5,-7.5,2015,0.296072574402592,1694.16
"14",-72.5,-7,2015,0.245181595692869,1846.19
"15",-72.5,-6.5,2015,0.28284035788642,2092.11
"16",-72.5,-5,2015,0.347774102137639,2834.98
"17",-72,-10,2015,0.307625693442427,1674.76
"18",-72,-9.5,2015,0.27227205945956,1678.66
"19",-72,-9,2015,0.25534031607888,1743.55
"20",-72,-8,2015,0.364631860152535,1963.35
"21",-72,-7.5,2015,0.339550238389235,2111.57
"22",-72,-7,2015,0.265538692474365,2176.31
"23",-72,-6.5,2015,0.201296679178874,2236.52
"24",-72,-6,2015,0.311011857764665,2351.68
"25",-72,-5.5,2015,0.275491152869331,2573.22
"26",-72,-5,2015,0.291318887158444,2806.31
"27",-71.5,-9.5,2015,0.307902133826054,1946.73
"28",-71.5,-9,2015,0.37668933539555,2109.91
"29",-71.5,-8.5,2015,0.396337467691173,2272.82
"30",-71.5,-8,2015,0.315098095715531,2344.38
"31",-71.5,-7.5,2015,0.306461586041397,2253.72
"32",-71.5,-7,2015,0.295025532347683,2215.18
"33",-71.5,-6.5,2015,0.307054655666573,2178.04
"34",-71.5,-6,2015,0.303379192719093,2214.99
"35",-71.5,-5.5,2015,0.324534104340268,2460.67
"36",-71.5,-5,2015,0.325861728935025,2790.64
"37",-71.5,-4.5,2015,0.251001971108573,3008.77
"38",-71,-9.5,2015,0.32610695570418,1946.73
"39",-71,-9,2015,0.311644179026286,2109.91
"40",-71,-8.5,2015,0.317704346052994,2272.82
"41",-71,-8,2015,0.307329182412214,2344.38
"42",-71,-7.5,2015,0.289975028789021,2253.72
"43",-71,-7,2015,0.263113411797418,2215.18
"44",-71,-6.5,2015,0.278783729277461,2178.04
"45",-71,-6,2015,0.262271881103516,2214.99
"46",-71,-5,2015,0.221546173095703,2790.64
"47",-71,-4.5,2015,0.289399670016381,3008.77
"48",-70.5,-10.5,2015,0.353218378393027,1444.72
"49",-70.5,-10,2015,0.327504165619018,1635.91
"50",-70.5,-9.5,2015,0.330907709269411,1874.74
"51",-70.5,-9,2015,0.228158603204745,2050.63
"52",-70.5,-8.5,2015,0.0786854426066081,2179.67
"53",-70.5,-6.5,2015,0.230142844350714,2102.35
"54",-70.5,-6,2015,0.331533639327339,2157.52
"55",-70.5,-5.5,2015,0.357233792543411,2435.01
"56",-70.5,-5,2015,0.293903208569268,2784.89
"57",-70.5,-4.5,2015,0.33580520891598,3072.97
"58",-70,-10,2015,0.476818126180898,1575.44
"59",-70,-9.5,2015,0.470576824286045,1768.01
"60",-70,-9,2015,0.336234160831996,1926.96
"61",-70,-8.5,2015,0.313104966107537,1974.41
"62",-70,-7.5,2015,0.358714237547757,2049.15
"63",-70,-7,2015,0.306692237347628,2112.9
"64",-70,-6.5,2015,0.306545882280391,2099.86
"65",-70,-6,2015,0.301764828267724,2145.83
"66",-70,-5.5,2015,0.291725398624716,2432.34
"67",-70,-5,2015,0.321552408977496,2792.27
"68",-70,-4.5,2015,0.303508684370253,3057.95
"69",-70,0,2015,0.309253484353252,3126.54
"70",-70,0.5,2015,0.331732354285432,3114.96
"71",-69.5,-10.5,2015,0.408570538396421,1387.22
"72",-69.5,-10,2015,0.347866599624221,1482.97
"73",-69.5,-9.5,2015,0.406592033721588,1602.6
"74",-69.5,-9,2015,0.37099802935565,1695.24
"75",-69.5,-8.5,2015,0.360323742104504,1759.43
"76",-69.5,-8,2015,0.358084509981439,1846.83
"77",-69.5,-7.5,2015,0.351629584739948,1971.2
"78",-69.5,-7,2015,0.318508145514499,2060.53
"79",-69.5,-6.5,2015,0.312814864791742,2086.67
"80",-69.5,-6,2015,0.247902455537216,2162.31
"81",-69.5,-5,2015,0.330175441978252,2803.09
"82",-69.5,-4.5,2015,0.251093564071055,3092.14
"83",-69.5,-4,2015,0.296653514955102,3237.17
"84",-69.5,-3.5,2015,0.297148876583453,3247.81
"85",-69.5,-3,2015,0.367931063582258,3201.1
"86",-69.5,-2.5,2015,0.300586036082064,3174.61
"87",-69.5,-2,2015,0.280048197713392,3166.02
"88",-69.5,-0.5,2015,0.284363488857152,3094.4
"89",-69.5,0,2015,0.31730649684944,3110.74
"90",-69.5,0.5,2015,0.273062250149325,3127.29
"91",-69.5,1.5,2015,0.290914826922947,3078.72
"92",-69,-11,2015,0.304592499236791,1384.39
"93",-69,-10.5,2015,0.315050725055778,1479.26
"94",-69,-10,2015,0.329540733910777,1587.29
"95",-69,-9.5,2015,0.326539967019679,1600.74
"96",-69,-9,2015,0.365951792399089,1557.8
"97",-69,-8.5,2015,0.369058799743652,1554.45
"98",-69,-7.5,2015,0.280440002679825,1835.97
"99",-69,-7,2015,0.277617576075535,1983.05
"100",-69,-6.5,2015,0.258617100892244,2060.29
"101",-69,-6,2015,0.300824298415073,2164.36
"102",-69,-5.5,2015,0.31205134360206,2417.1
"103",-69,-5,2015,0.321443649109252,2778.07
"104",-69,-4.5,2015,0.291868387890594,3037.11
